"Mantsjoerije",20,19,20,20,21,22,24,24,24,24,24,28,31,33,33,35,37,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek China",20,21,19,23,27,29,41,43,44,41,43,43,43,48,50,53,42,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yakutia",20,20,20,20,21,28,27,20,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chinese Rijk",20,19,20,21,21,19,17,16,16,19,20,21,22,20,20,19,20,23,27,28,26,27,28,28,28,27,27,24,26,27,27,19,28,30,29,
"Koreaanse Rijk",20,19,21,21,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Siam",20,19,19,21,21,23,23,23,23,21,23,23,25,27,21,18,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Archangelsk",20,19,20,21,20,20,18,7,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Australië",20,21,21,21,22,9,6,7,7,8,7,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Australië",20,21,20,21,20,21,23,26,29,33,30,30,31,33,34,36,39,49,52,55,57,60,59,62,65,67,68,70,74,73,66,53,39,34,9,
"Brits Australië",20,19,16,17,17,17,17,15,13,12,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nederlands Oost-Indië",20,21,20,25,26,26,29,34,30,32,34,36,35,38,36,38,41,47,57,60,61,22,27,26,29,33,40,47,62,49,51,0,0,0,0,
"Nederlands Indonesië",20,19,21,21,20,19,21,28,26,28,28,29,31,36,38,43,45,48,49,51,37,35,11,3,0,0,0,0,0,0,0,0,0,0,0,
"Amerikaanse Filipijnen",20,19,20,20,20,22,23,24,27,27,22,24,26,27,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Nieuw-Zeeland",20,19,17,18,17,20,21,19,18,17,17,16,16,12,11,14,14,19,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Filipijns Moro",20,19,19,20,21,23,23,21,18,17,16,18,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nederlands Nieuw-Guinea",20,19,20,16,6,5,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek Amazonas",10,10,10,11,11,9,11,11,11,11,12,11,10,11,11,11,13,13,11,11,13,13,11,12,10,9,9,10,12,13,11,10,9,9,7,
"Papoea Nieuw-Guinese",20,19,20,21,26,27,30,31,37,39,40,44,43,45,47,55,60,60,59,63,65,69,81,83,80,80,81,83,84,82,82,63,23,15,9,
"Nepal",5,5,5,5,5,5,5,6,6,4,4,4,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"Brits Kashmir",5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,
"Spanje",21,16,12,5,2,1,1,1,2,2,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
